Date,yhat,yhat_lower,yhat_upper
2024-05-25,186853.416083027,180064.40250072133,193117.2963820235
2024-05-26,187321.4860245908,180186.82632363628,193987.81716770562
2024-05-27,187666.71556013887,180810.75912650645,194280.56763217907
2024-05-28,188383.85539546233,181528.1439082891,195020.18068633645
2024-05-29,188667.64303815344,182078.30582148596,194950.66744948708
2024-05-30,189429.21346682677,182161.47556849042,195782.20982289442
2024-05-31,190046.0503132836,182854.6685071993,197022.18710386634
2024-06-01,190337.2048631392,182711.19854056113,197142.00786679788
2024-06-02,190861.2511422593,183146.53873647912,197526.45423971326
2024-06-03,191251.1182266336,183811.08281569526,198256.69602153392
2024-06-04,191998.60573492706,184469.9857096025,198960.45648471452
2024-06-05,192295.67630159648,185358.2411806387,198991.28720113682
2024-06-06,193050.97351203236,185479.981377952,199447.27078898254
2024-06-07,193639.87420505137,185891.3642747176,200970.62202558294
2024-06-08,193879.7991355849,185704.65419543543,200495.45707663673
2024-06-09,194328.24720725033,186301.618905234,201685.64240099242
2024-06-10,194617.6917024661,187021.38590527987,201610.37665743654
2024-06-11,195240.1421901473,186938.58736959976,202655.25098142592
2024-06-12,195388.46413107973,187342.1270949896,203314.4564621886
2024-06-13,195972.9034423423,187956.08097727405,203623.8286960155
2024-06-14,196371.12430398914,187638.0229977517,204210.85294773272
2024-06-15,196403.48419982963,187436.22283176187,203823.12618985894
2024-06-16,196631.01202699813,187256.5331662902,204169.64392124698
2024-06-17,196690.22894017564,186901.01415493074,204255.06087872424
2024-06-18,197077.617430877,188241.76508396922,205406.62790055218
2024-06-19,196990.83301664056,188038.92190800022,204633.01328843445
2024-06-20,197345.1086271428,188016.83499614272,206089.4131802141
2024-06-21,197523.16318961093,187738.67917402502,206441.64941845532
2024-06-22,197350.34192885418,187386.3040323468,206407.55385059392
2024-06-23,197392.45794627306,186861.16364447572,206962.1228162752
2024-06-24,197290.47857464635,186901.54292671903,207004.36977933755
2024-06-25,197544.8658332491,186753.23736285558,206517.1824148397
2024-06-26,197356.6690667986,186601.251930664,206817.29586342594
2024-06-27,197643.82334256475,186632.3577696473,207077.07044455045
2024-06-28,197790.96827367076,186956.34091642266,207888.38235686647
2024-06-29,197624.51753633659,186608.48273151406,207424.9532937401
2024-06-30,197710.45090396306,186554.499316796,208607.09450241915
2024-07-01,197688.97399253497,185736.70478879436,207904.02088300217
2024-07-02,198058.85612697818,185665.06808976855,208817.3071654823
2024-07-03,198018.5448496756,186197.90071133574,209232.84416486498
2024-07-04,198482.51041888955,186525.7945319168,209666.42701224107
2024-07-05,198831.1340757572,187214.05129620683,210357.1869216516
2024-07-06,198885.8688154184,185825.53669206565,209972.64127339644
2024-07-07,199207.1423479446,185338.3271528114,210821.6980266408
2024-07-08,199429.1447560496,185649.05871094676,212358.8996303175
2024-07-09,200044.30809148145,187153.37169710174,211868.80564918218
2024-07-10,200244.57286699838,186471.53215209674,213552.70514536806
2024-07-11,200937.89092537973,186568.78616952882,213568.09781073732
2024-07-12,201498.27439935613,186870.68307217557,214606.64624003388
2024-07-13,201741.11534349606,186890.98466729987,215074.32688427556
2024-07-14,202221.2415914036,186809.57169349003,216009.33962416518
2024-07-15,202567.84734618268,186127.83134648527,215911.8404621309
2024-07-16,203269.10198839373,186686.00855137638,218319.821262136
2024-07-17,203513.5286433742,187755.58754034806,217573.87512070336
2024-07-18,204206.59900936708,189496.5376548318,217940.38977560712
2024-07-19,204720.8516957182,187792.4794036432,219416.55507009427
2024-07-20,204871.25676971715,187804.93074614884,221120.28990169434
2024-07-21,205213.2908157282,188107.6206353054,221055.1309322588
2024-07-22,205377.86043159966,188922.46685056237,220484.23889001424
2024-07-23,205855.8777458454,188453.14345215505,223298.10521737573
2024-07-24,205839.5802764427,189171.2496501109,222721.93766422998
2024-07-25,206239.04307031198,187291.1835234727,222390.20310679387
2024-07-26,206432.19243042512,188842.2603218925,224578.6372472415
2024-07-27,206240.04655158296,188689.7032304061,223960.71000192774
2024-07-28,206224.65048562718,186902.18874475724,223583.81086467332
2024-07-29,206023.84688946654,187282.22253002654,223961.26004184026
2024-07-30,206135.68998514808,187575.55272058942,224130.45530697567
2024-07-31,205759.59911369218,185969.14482580437,224668.06256277053
2024-08-01,205812.70399033217,186027.38032456613,225307.73897407873
2024-08-02,205679.69513445487,185416.43723274278,225642.72109054573
2024-08-03,205187.9088502194,184789.1170538026,224337.0619474021
2024-08-04,204905.1180164463,183490.57401349116,224093.9393860507
2024-08-05,204474.1736605142,183414.64013847656,224953.26584142094
2024-08-06,204397.30786032605,182263.47664196714,225976.95331938387
2024-08-07,203877.19698548963,181076.1989649779,223365.53992339695
2024-08-08,203833.2394642336,181471.70637105306,225155.6933102218
2024-08-09,203651.36302750942,181158.3797374973,223924.438429807
2024-08-10,203159.09165025604,180033.76223796743,224890.23139840513
2024-08-11,202923.34364154778,178123.39822697258,226405.55063225768
2024-08-12,202585.10540200822,178611.26107839818,224540.85063090426
2024-08-13,202643.79030488167,177495.87246254273,225902.30104411594
2024-08-14,202298.38002814387,176559.08796164926,224119.17336575885
2024-08-15,202463.8002948641,177493.22636089576,226696.83859523194
2024-08-16,202520.84326326946,177172.9223626502,225939.36620244526
2024-08-17,202291.36367237096,176371.33436397542,226554.1123982846
2024-08-18,202336.21676367114,176113.09036067082,226668.85659536996
2024-08-19,202290.07884308297,176311.44467727764,227900.07904141038
2024-08-20,202645.95616128517,174952.97325977922,228865.75004098224
2024-08-21,202596.47563888933,174210.74835539385,229446.7256891448
2024-08-22,203050.40567021494,174517.4976797798,228659.76193627508
2024-08-23,203382.71569822365,176532.1225380085,229384.03600027144
2024-08-24,203409.89838302947,174964.8920303021,229999.4154629488
2024-08-25,203688.0194490415,175994.14335786953,232089.43876133786
2024-08-26,203847.63355914038,175076.85015595355,231359.14227013008
2024-08-27,204378.36985778998,173793.27350809934,233932.6933599086
2024-08-28,204470.27919797198,173802.02169422447,233172.19851611066
2024-08-29,205030.39032989665,173702.71949538254,234206.12918636078
2024-08-30,205432.78335892266,173952.3509436912,233699.8015172525
2024-08-31,205493.90448018702,174817.50290822546,235537.8262402035
2024-09-01,205770.5878141512,174332.1932892964,236028.56699914025
2024-09-02,205894.92395390506,173704.66130498928,236536.1443654567
2024-09-03,206358.78060727156,173611.58263874173,238588.67059396618
2024-09-04,206355.0695116239,174023.15036407806,238752.8884884186
2024-09-05,206794.20941705606,172782.77912406484,238985.84029279542
2024-09-06,207054.09624189866,173691.5045177817,238552.0495927566
2024-09-07,206955.30740165888,173388.74257627717,240073.02237317828
2024-09-08,207059.00924045205,171642.4677035451,240296.44375814946
2024-09-09,207001.7103049368,172654.89253431527,239543.08447353114
2024-09-10,207279.66891115808,171658.48844238982,239927.7188172509
2024-09-11,207090.05210554978,170509.85350251113,242248.82749715506
2024-09-12,207347.29851810762,171774.87057693396,240452.19796517983
2024-09-13,207432.99862437212,169631.20305361788,238170.90085121567
2024-09-14,207171.02148073455,170705.14017930557,244128.44736374082
2024-09-15,207125.3585281609,169492.97461898468,242786.87839734936
2024-09-16,206934.82843677374,168466.90064891323,241280.19656693298
2024-09-17,207097.4522175343,168595.36833926153,241670.6695430864
2024-09-18,206811.59601170034,167448.4803478386,242384.2950318495
2024-09-19,206992.3339028471,167395.23329782693,243523.76531442246
2024-09-20,207021.3436688368,167232.51881868707,243143.5844156631
2024-09-21,206722.06352197385,167165.2736375392,244934.02896304164
2024-09-22,206657.57903920568,166061.95687162463,244106.68001432013
2024-09-23,206465.3825346196,163832.2013751091,243963.45769294046
2024-09-24,206641.81211138167,165464.29884291594,244396.68053858067
2024-09-25,206383.26561013403,163067.739008515,243644.68176437553
2024-09-26,206602.6394692116,164167.7022186934,246758.0919126388
2024-09-27,206679.30301968122,164779.7122948137,246703.88404665963
2024-09-28,206434.33387520755,163145.94649080973,247669.07607729928
2024-09-29,206428.4813056133,162521.9063831694,248458.07708158743
2024-09-30,206296.99767379428,162106.1570774375,248096.39655211082
2024-10-01,206534.14320031428,162780.82941300407,248043.66874295849
2024-10-02,206334.45755189026,159911.50509139113,247887.11379991675
2024-10-03,206609.2468434742,162314.17953161534,249047.156655585
2024-10-04,206736.59548024967,160952.22842921905,249840.64377369414
2024-10-05,206536.62775458107,160068.04993622366,249038.9205362416
2024-10-06,206569.48570578685,160756.7370002451,249981.2722842128
2024-10-07,206470.16330602524,158162.7790116866,251430.97860601492
2024-10-08,206733.00257508067,158604.0038844419,250791.63457820026
2024-10-09,206552.94579310896,159233.73484534028,252415.8609767392
2024-10-10,206841.99337854885,158084.50638904687,251364.5984274174
2024-10-11,206979.17810142404,158249.18983418812,252365.81684232113
