Date,yhat,yhat_lower,yhat_upper
2024-06-14,84234.53660760999,80946.28239569464,87491.50904278822
2024-06-15,84342.22597338454,81040.28437071135,87782.79097166896
2024-06-16,84320.63791467722,81000.2164797828,87829.15854771953
2024-06-17,84077.8918086528,80644.9469244971,87985.63841535841
2024-06-18,84178.874295368,80864.57039010324,87925.63125971556
2024-06-19,84046.54373934826,80233.69446281141,87819.9732721287
2024-06-20,83991.61644287914,80370.88714478668,87901.90381355183
2024-06-21,84010.77017529157,80125.08370037074,87710.59971668436
2024-06-22,84086.60880976393,80140.76969564009,88371.95313035042
2024-06-23,84040.96178532313,80199.4291342656,87914.14685163726
2024-06-24,83782.33070106724,79826.091481553,87534.35606045282
2024-06-25,83875.87963163965,79835.57446084423,88114.9919652652
2024-06-26,83744.72970012418,79890.60893655593,87958.53684389235
2024-06-27,83699.63686836175,79508.5698881231,87693.16448955274
2024-06-28,83737.18878576669,79442.04187122924,88197.00550558402
2024-06-29,83839.76473877497,79684.36044740412,88277.43475368129
2024-06-30,83828.8326356941,79571.58930995625,87891.54040907076
2024-07-01,83612.3955109629,79430.93995248129,88031.48559375595
2024-07-02,83754.98426902495,79393.66299687473,88402.89657630773
2024-07-03,83678.95728445204,79414.28935253309,88164.75501601816
2024-07-04,83694.1858444731,79117.79411810776,88522.1601088726
2024-07-05,83796.26124429922,79179.11456104182,88466.72402790998
2024-07-06,83966.46748869753,79285.62510106983,88455.46937800678
2024-07-07,84025.093388001,79266.4265560147,88863.01811137411
2024-07-08,83878.8963296421,79199.58301976249,89349.47741099288
2024-07-09,84091.11418891708,79096.73857974012,89364.5317569235
2024-07-10,84082.78568972608,78918.69282338684,89458.92526345592
2024-07-11,84162.45785141128,79068.91665235556,89031.64404414392
2024-07-12,84324.41594444282,79166.68524176396,89588.75055908492
2024-07-13,84548.67949044233,79212.83244160109,90160.39237247038
2024-07-14,84654.33765480963,79365.5465968783,90024.39853920185
2024-07-15,84547.03585991391,78858.63394436959,90070.755030566
2024-07-16,84789.00962565416,79134.87989075438,90360.26861050422
2024-07-17,84800.425496994,78928.64934745377,90675.99212594783
2024-07-18,84889.10725888472,79123.25268734102,90968.36251691873
2024-07-19,85048.78245050886,79365.83505346694,90871.85871594322
2024-07-20,85259.09233757542,78753.48637756282,91412.04518410635
2024-07-21,85338.93835669292,79158.56582156713,91727.4886425047
2024-07-22,85193.97657593421,78905.6934675104,91862.71989095342
2024-07-23,85386.65595174559,78499.1171254457,91520.95480083756
2024-07-24,85337.56007810646,78644.55305218251,91786.88651176897
2024-07-25,85355.13053216088,78886.70933275584,92349.17164938546
2024-07-26,85433.90680275063,78741.21570528812,91746.61994707817
2024-07-27,85554.52600754761,78780.084207518,92681.95721043606
2024-07-28,85537.05553254997,78676.7350099812,91748.80957422503
2024-07-29,85288.47032941255,77632.16268090032,91945.49701435462
2024-07-30,85372.67091100555,77865.9470567577,92232.51855025275
2024-07-31,85211.80206620436,78041.12699991134,92116.60200611979
2024-08-01,85115.95078252805,77715.26113839097,92097.63315694408
2024-08-02,85081.35880002739,77874.4259735437,92341.7061694158
2024-08-03,85090.39348371778,77122.10942344439,92363.28253686121
2024-08-04,84964.8506657084,77105.56652256101,92781.81520676092
2024-08-05,84613.40173581018,76336.00665322933,91705.78421831196
2024-08-06,84601.5815799941,77323.98400680767,92662.06800807321
2024-08-07,84353.07795145875,76360.38348188579,92208.38336924229
2024-08-08,84179.40132045596,75899.95942254126,92366.06134286823
2024-08-09,84078.0711665103,75815.17711153258,92335.205830241
2024-08-10,84032.5629125367,75616.26882143634,92876.09263709889
2024-08-11,83865.58962571093,75066.39707268057,92464.02175173545
2024-08-12,83486.53118947092,74477.00163081064,91916.75047783805
2024-08-13,83461.40791459108,74367.517942092,91810.40075706899
2024-08-14,83214.15947783618,74237.60985202856,91862.20831067301
2024-08-15,83056.30846667287,73711.37470978122,91887.79372799258
2024-08-16,82985.1446493602,73690.43463624442,91911.9646300639
2024-08-17,82983.67424513047,73442.124512836,92625.36649443893
2024-08-18,82873.90831187353,72712.49389634424,92070.8968618844
2024-08-19,82564.30286501592,72354.65077320034,92589.93621268109
2024-08-20,82619.74752259033,72334.0183955677,92665.59598725621
2024-08-21,82462.86331256117,72096.40352537454,92387.44930114267
2024-08-22,82403.68859316998,72060.0758333626,92246.15426800394
2024-08-23,82437.88880847588,71956.93326327758,93030.68532069247
2024-08-24,82546.73389446552,72417.3083054876,92558.71161292543
2024-08-25,82550.41694014092,71716.92539309201,92734.90216948076
2024-08-26,82355.52616027878,71767.21434814953,92570.98642642003
2024-08-27,82525.06638449634,71854.0111375249,93463.87674878097
2024-08-28,82479.79008631632,71918.76095050194,92906.93956155393
2024-08-29,82527.91628050283,71309.19987494701,93943.40271169638
2024-08-30,82663.37239042322,71482.45330077282,93366.57329999814
2024-08-31,82865.8022946719,71191.4039286793,93981.34592522535
2024-09-01,82953.91357754162,71739.64596305296,94006.22243265931
2024-09-02,82832.97549809482,71274.44316036276,94173.19602325263
2024-09-03,83064.86338932165,71309.85304879997,94581.86950394823
2024-09-04,83069.4090766809,71304.68425459728,94672.21420282748
2024-09-05,83154.1352775441,71049.99019380013,95545.83467794662
2024-09-06,83312.5087916996,70939.43350113879,95227.14500696641
2024-09-07,83523.95548180892,71389.83194511932,96077.08606913386
2024-09-08,83607.20994376515,71302.09866007167,95476.14622441183
2024-09-09,83467.81134551365,71134.4875356759,95808.4018056839
2024-09-10,83668.14119903135,71392.42113095893,96663.65650772696
2024-09-11,83628.7627965028,71045.20913213633,96887.30096573547
2024-09-12,83658.1404998188,70766.83658188401,96776.9742119049
2024-09-13,83750.87400255135,71412.38239815745,97300.28999151167
2024-09-14,83887.69094755386,69784.58164520605,96999.50631900025
2024-09-15,83888.77125190379,70496.9873833234,97325.06459546975
2024-09-16,83661.21512789061,69866.74498005302,97584.69614927772
2024-09-17,83769.05112286181,69892.70224990744,97928.18644519108
2024-09-18,83634.54450359494,69580.00585752806,97846.05565583092
2024-09-19,83567.88479327413,69904.98420978898,98547.79861277972
2024-09-20,83565.38821067607,68961.72413424966,97874.4234402162
2024-09-21,83609.45902363608,68888.09503738595,98390.92032108465
2024-09-22,83521.88378282939,69291.975756009,98930.75260285336
2024-09-23,83211.27101150207,68487.85352149112,98061.4434803693
2024-09-24,83243.03322129931,68310.25530642885,98794.5863116626
2024-09-25,83040.67207616525,67302.3646604429,98253.60302943406
2024-09-26,82915.44594735338,67788.39258386112,98649.25898693508
2024-09-27,82864.5559737327,67116.22360573828,98828.41417152826
2024-09-28,82871.09492610808,67034.49479458295,98924.7941501876
2024-09-29,82757.33304449741,66952.49895938142,98696.65642938553
2024-09-30,82432.15353908142,66568.11546156622,99031.74481195264
2024-10-01,82461.03465011287,66326.09182682344,98410.72738333662
2024-10-02,82267.33902383049,66569.57830942782,98475.01209568814
2024-10-03,82161.9894941624,65148.64441919415,98966.22754240605
2024-10-04,82141.66714667008,65196.8281668505,98646.25900035523
2024-10-05,82188.77564679374,65193.909032073214,98842.18685161193
2024-10-06,82124.74561320072,65926.88874656234,100152.62694410667
2024-10-07,81857.49127628622,64432.5715628509,99164.19873705528
2024-10-08,81951.41581426458,64395.29711664279,99220.81114040532
2024-10-09,81828.72558047177,64350.77685479747,98689.6998518382
2024-10-10,81799.13174003577,64562.63844277706,100321.33040364776
2024-10-11,81858.07460564408,63959.940103344015,100725.9906671541
2024-10-12,81986.71406605933,64243.72088395348,100037.7059278452
2024-10-13,82005.25931147029,64768.26080319279,100590.61347045071
2024-10-14,81820.44954388228,63356.66056802032,100871.62289204585
2024-10-15,81995.58155050935,63101.48341995889,100929.08400500938
2024-10-16,81951.8438883522,62430.83102950174,101004.59282998493
2024-10-17,81998.03579218454,62862.793598063996,101652.65083764939
2024-10-18,82128.80575834613,63381.339985506485,102117.47532163789
2024-10-19,82324.65293666498,63041.465492181815,102390.88218080757
2024-10-20,82405.26435494746,62574.978162787134,102074.84018629185
2024-10-21,82276.99956987608,62514.423452028255,102735.72963346828
2024-10-22,82502.91861496352,61956.5985829354,102081.24818369548
2024-10-23,82504.11307284064,62611.34195175645,102750.57797555558
2024-10-24,82589.4185472793,62805.46463148662,103034.38531677819
2024-10-25,82753.6437298659,62598.98864635033,103926.55867633216
2024-10-26,82977.55950914121,61952.16289435195,104204.5578493594
2024-10-27,83081.22152678779,62299.2147910666,103431.03281471804
2024-10-28,82971.43820969039,62261.14899857406,104061.28849926434
2024-10-29,83211.78062715182,61736.523600231696,104826.6628443576
2024-10-30,83223.89451061023,61377.830313810875,104551.20262462237
2024-10-31,83317.19323967941,61716.48703681134,104967.18052893139
2024-11-01,83487.06752280505,61912.38458156703,106310.88450917145
2024-11-02,83714.85574500587,62320.43534899915,106066.51312290989
2024-11-03,83821.14888988696,61676.09743959531,105851.00085807164
2024-11-04,83713.24253245868,61265.75074308807,106318.638765621
2024-11-05,83955.13267285393,61163.14044142243,106156.4733106212
2024-11-06,83968.8161114951,60943.56706344393,107663.05260173918
2024-11-07,84063.97446571683,61076.55341344779,107680.46508963418
2024-11-08,84236.1777777135,60810.87673741437,107528.02424289235
2024-11-09,84466.85182751046,60743.44167003899,107855.04537091269
2024-11-10,84576.58311529546,60882.905409635525,108631.22737778873
2024-11-11,84472.5739812498,60289.615568159694,108423.19893583153
2024-11-12,84718.64451965154,60893.334706961876,108782.80761143334
2024-11-13,84736.54179247578,60502.775953685705,108588.84533832151
2024-11-14,84835.63517018752,59497.186363328336,108804.86123295518
2024-11-15,85011.13340735449,60017.590895517395,109393.14936496122
2024-11-16,85244.06716354603,59360.47824590323,109755.67473307125
2024-11-17,85354.61048017314,60821.89465063415,110440.34325402438
2024-11-18,85249.55318928407,59316.35771532506,110763.26279965427
2024-11-19,85492.32039351804,59866.447900133,111512.15746301044
2024-11-20,85504.29899329528,59199.866712074996,111016.14059505415
2024-11-21,85594.5495623825,59696.762609797406,111153.23488334488
2024-11-22,85758.03866982435,59302.12472147809,111875.42415928219
2024-11-23,85975.63487987776,59580.94936714788,112512.49806917555
2024-11-24,86067.44150594441,59575.84221626492,112205.49910456466
2024-11-25,85940.27771610502,58610.16972190103,113149.07983325342
2024-11-26,86157.70381834163,59975.60988719909,113398.43818102205
2024-11-27,86141.35046673978,57986.87435309991,113391.61805498309
2024-11-28,86200.6299387824,58317.436239596616,113170.86386694582
2024-11-29,86330.96451950831,58777.65840564598,113314.2454372662
2024-11-30,86513.77525375581,58431.62428429423,114453.49774263319
2024-12-01,86569.80426426472,58238.386978951414,114376.07025046162
2024-12-02,86406.58244540427,58352.731320580475,114694.67318940046
2024-12-03,86588.43865872803,58107.59716727585,114574.28256351454
2024-12-04,86537.81054919587,57423.84161791183,114935.67483003812
2024-12-05,86564.9355802305,57773.42035881801,115358.52596716292
2024-12-06,86666.05783128335,56538.15416146741,115540.1197420472
2024-12-07,86823.39437427258,56730.65479329236,115672.18963221407
2024-12-08,86858.43501525419,56482.011416256944,116206.78284603228
2024-12-09,86679.3878180518,57049.30403393011,115961.65690303894
2024-12-10,86851.16714578259,56682.773625226975,117200.26640412639
2024-12-11,86796.68493558466,56834.088884056124,116962.0854358975
2024-12-12,86826.52437210681,56041.391719566775,116494.07368116073
2024-12-13,86937.13202632233,55538.75873111739,117224.58471461384
2024-12-14,87110.77274006295,55964.33089270544,117667.67377503726
2024-12-15,87168.82143456012,56029.0555440044,118307.61308539782
2024-12-16,87019.20456817704,55676.554820891506,118034.45379866708
2024-12-17,87226.38819464634,55222.64194229863,118233.26733380095
2024-12-18,87212.67345217522,55010.73376282963,118347.41114020075
2024-12-19,87287.87865894157,55271.38908424993,118072.2454958496
2024-12-20,87447.54398412173,55823.32312807141,118436.99638861638
2024-12-21,87672.90277063024,54838.358810389975,119067.3928719976
2024-12-22,87784.19338000276,55235.905167366494,119999.69494299521
2024-12-23,87688.12387909979,54644.34083956376,120243.6505658504
2024-12-24,87947.88602516471,53894.61058746603,120744.67555424133
2024-12-25,87984.47880655136,55525.60150331425,121255.51283876087
2024-12-26,88106.42007617306,54839.97322694041,121567.24228656158
2024-12-27,88307.98155796334,53804.34326615458,121429.34961722916
2024-12-28,88569.1905794574,54155.93654856708,121496.96058356173
2024-12-29,88709.17166128737,54761.00797730414,121719.47218799315
2024-12-30,88633.63954498756,53506.906748304886,123039.09717028505
2024-12-31,88904.93939728575,54162.50227234654,122621.06885153151
2025-01-01,88943.39376771706,54071.800564494704,123227.81687564278
2025-01-02,89057.03421162667,54334.67193766068,123114.20105329817
2025-01-03,89239.8523055425,53032.02855102634,122753.84631803518
2025-01-04,89471.81294130687,52637.74385731253,123970.18562877344
2025-01-05,89572.20266236135,53968.13396650709,124442.69900352956
2025-01-06,89447.1243661574,53651.10158622576,125180.90321154048
2025-01-07,89659.53397136647,53425.25582665145,124768.56546715558
2025-01-08,89630.57861037784,52261.765007212976,124417.83426991716
2025-01-09,89669.3143681853,52326.39010428218,125563.0777175176
2025-01-10,89770.93852829207,52451.64808955358,124796.68010969931
2025-01-11,89916.77956639665,52512.61066346601,126983.52832496808
2025-01-12,89927.61812350854,51491.94568973378,126289.80200913078
2025-01-13,89711.15085491164,52288.87780006216,126075.44035775411
2025-01-14,89831.99341784841,51489.56845126754,126509.16443919622
2025-01-15,89712.98289969334,51402.912744563706,126126.1969306496
2025-01-16,89664.85850922433,51077.57292185839,125984.29459250529
2025-01-17,89684.45633496274,51695.16966854031,126495.16708066937
2025-01-18,89754.66227682217,50929.116501488126,127182.39308470141
2025-01-19,89697.69724997389,50374.819037136316,127424.39008137595
2025-01-20,89422.5474056602,49837.11704628282,126434.85648962653
2025-01-21,89494.93644087092,49471.92782151151,127033.33705884182
2025-01-22,89338.6010486373,49299.804983625356,127082.26145527132
2025-01-23,89264.94900413264,49359.675976901795,127046.41736530165
2025-01-24,89271.23626886762,47948.79109856497,126731.10940909456
2025-01-25,89340.50768868747,48774.2305360622,127532.06586711082
2025-01-26,89294.8757328289,48584.26707753263,128485.42120345896
2025-01-27,89042.95023663834,47899.061863254676,128417.02172127966
2025-01-28,89149.81630085458,47030.19617699815,127978.278256207
2025-01-29,89038.32134016,46288.11152735025,127804.58839992293
2025-01-30,89018.75057720937,47366.826626850576,128035.67749140217
2025-01-31,89087.02702900952,48017.577137711916,127974.64571386977
2025-02-01,89224.68009617177,46824.777808915016,129155.63321006864
2025-02-02,89252.15661721326,45801.218308177165,129735.38518324526
2025-02-03,89076.28665825489,47490.17225778521,129348.37437583758
2025-02-04,89260.30040690569,45544.93006640104,129337.66372618507
2025-02-05,89225.1563047158,45550.39874928629,130279.13356248046
2025-02-06,89279.25880127713,45567.464141094635,130078.4898218452
2025-02-07,89416.70082978599,45151.203053388075,131019.20815565919
2025-02-08,89617.27415531012,45198.58122511869,130617.65747740288
2025-02-09,89699.82050860138,43812.13953551298,130685.8333117531
2025-02-10,89569.73485838728,43553.47496381866,132135.85608878155
2025-02-11,89789.01632676735,43850.669104745895,131226.3857972316
2025-02-12,89777.62609139325,44307.014896694185,132575.92512960394
2025-02-13,89843.22995874497,45028.57265396759,132123.53428696853
2025-02-14,89979.46011798145,43500.659138399205,132997.2040331338
2025-02-15,90165.93875860865,43575.00780959113,133242.03729590357
2025-02-16,90221.63613033331,44117.52634373182,133593.43556288374
2025-02-17,90052.37420513284,43519.34045959278,133075.00738101228
2025-02-18,90220.87139964446,43246.355387584306,132932.3269359765
2025-02-19,90148.08780278395,43196.822025856556,134326.6956580506
2025-02-20,90142.94883995946,43698.85796416674,134666.86465347878
2025-02-21,90200.58227072941,42200.96462463364,134629.92538753586
2025-02-22,90302.31172234064,42141.526557335645,135302.10719980765
2025-02-23,90268.97997676364,42334.38019831074,134748.6554335801
2025-02-24,90008.41391616837,41074.29882057336,134733.5319851734
2025-02-25,90085.42741869442,43280.787089421676,134951.40466629207
2025-02-26,89923.12255310216,40680.463697153646,134770.3684572596
2025-02-27,89832.56795686495,41350.81298589101,136489.32129168263
2025-02-28,89810.99027569804,39277.08122512062,135576.28620224193
2025-03-01,89841.72285397517,39674.35732930763,135154.82326861913
2025-03-02,89747.48586428234,39485.365405287186,135258.41456847143
2025-03-03,89437.81071362384,40087.999596764006,135936.62695104536
2025-03-04,89479.00589177862,38698.86550993209,136702.8991853442
2025-03-05,89295.42540583866,38956.066493451035,136467.03673241302
2025-03-06,89199.1193851375,39232.1383530823,136339.56920726114
2025-03-07,89188.00332332587,36989.24440488473,137218.2515425058
2025-03-08,89245.79061219127,38249.9359326572,137368.81495525994
2025-03-09,89195.2628873923,38344.82072513722,137352.43156837093
2025-03-10,88945.6912156132,37446.73185721158,137995.24051976137
2025-03-11,89062.80533734291,38159.360474904905,138542.20308409093
2025-03-12,88970.07201460097,37077.616228797975,139091.46616964243
2025-03-13,88978.36183281122,37081.96974793933,139012.0246102227
2025-03-14,89084.14055458558,37625.90139055216,139210.95243586006
2025-03-15,89269.4291863059,37414.678679490484,138583.20638960885
2025-03-16,89355.1066712216,36787.852997630696,139277.7481747124
2025-03-17,89248.36753387448,37229.98100702257,139418.40338493412
2025-03-18,89512.73090360312,36907.48766718364,140039.6237324352
2025-03-19,89569.36111641163,37345.92527803959,140839.39188237695
2025-03-20,89726.77835026551,37739.4814160881,140510.6755500104
2025-03-21,89979.09447344759,35865.28430078558,142475.91853313663
2025-03-22,90306.0173452778,37525.457925205395,141759.68359607685
2025-03-23,90526.19657815402,37878.8949206036,142801.18527656887
2025-03-24,90544.72221740958,37496.141207086264,142188.09394089715
2025-03-25,90923.17195342951,36293.68936037719,143214.11852301663
2025-03-26,91080.96632403339,37560.10599300659,144910.41035687175
2025-03-27,91325.10970807543,37565.825633847555,144808.99250304265
2025-03-28,91648.45173589351,36918.936258659116,144851.23252397333
2025-03-29,92029.71191246856,37545.564885140775,145481.1795003521
2025-03-30,92286.84013720149,38054.86841878816,145452.0038563545
2025-03-31,92324.52437503723,37740.77496558763,146381.28433468236
2025-04-01,92704.24101709682,37115.67664420756,146815.36639132534
2025-04-02,92845.60743716272,37657.71646950423,146952.66425915746
2025-04-03,93056.11471438792,36984.97525708864,147650.93565673238
2025-04-04,93329.37543208883,36079.212296953054,147309.99124940953
2025-04-05,93645.12973878464,36851.7045756848,148979.96648287016
2025-04-06,93822.58284082652,37632.54385188493,148809.00769980534
2025-04-07,93767.88574902849,36690.22660936726,149596.79667660806
2025-04-08,94044.15545294309,36935.79333532156,150893.59222747094
2025-04-09,94072.79471675222,36836.47197741192,150000.30199320512
2025-04-10,94163.19019042028,36658.53970114023,150783.62552471622
2025-04-11,94310.92448802675,36485.008396256795,150858.89035001583
2025-04-12,94497.74616340155,36076.754368260146,150805.06128282854
2025-04-13,94544.8714817046,36157.72366878225,151747.919781683
2025-04-14,94360.43050841878,36639.34057878868,152580.72503368912
2025-04-15,94509.45434344909,34775.68310829288,151628.6409877743
2025-04-16,94415.16429034459,35404.363849369416,151592.61654454347
2025-04-17,94388.64218081383,34831.711073724924,152055.84849234877
2025-04-18,94427.01795401376,34939.74298869366,153260.12098537246
2025-04-19,94513.41878195583,34352.93849335366,153310.66192325184
2025-04-20,94470.25390946581,33761.59726875239,152963.69547675177
2025-04-21,94206.64790566418,33845.20420536815,153174.5030053704
2025-04-22,94288.41923541737,31041.395061025134,153061.83164872782
2025-04-23,94139.36492845792,33430.106335270015,153346.12850743436
